run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
92,28,4,final_day,2,0,recluse,depth2,2,Gnoster,True,crater,duo,4,False,11,74,13,592298,14,15,11,0.3333333333333333,4,0.14666666666666667,39486.53333333333,speedrun,0.0
93,28,5,victory,3,1,recluse,depth2,2,Caligo,False,base,duo,5,False,11,53,18,372223,12,16,11,0.4166666666666667,5,0.2037037037037037,28632.53846153846,buff_focused,0.0
94,29,1,final_day,2,0,recluse,depth2,2,Gladius,True,base,duo,5,True,9,52,12,486444,14,14,12,0.5,6,0.16981132075471697,32429.6,buff_focused,0.0
95,29,2,final_day,2,0,recluse,depth2,2,Gnoster,True,base,duo,3,True,9,45,7,583296,15,12,12,0.3,4,0.1956521739130435,36456.0,high_risk_castle,0.0
96,29,3,victory,3,1,wylder,depth2,2,Adel,False,crater,duo,2,True,14,85,5,746024,15,16,17,0.13333333333333333,3,0.16279069767441862,46626.5,loot_focused,0.0
97,30,1,victory,3,1,revenant,depth2,2,Fulghor,False,base,duo,5,True,13,90,8,659841,15,18,16,0.35714285714285715,6,0.14285714285714285,41240.0625,buff_focused,0.0
98,31,1,final_day,2,0,revenant,depth2,2,Adel,False,base,duo,3,True,11,67,20,524084,15,14,14,0.25,4,0.16176470588235295,32755.25,high_risk_castle,0.0
99,31,2,victory,3,1,guardian,depth2,2,Fulghor,False,base,duo,3,True,9,115,11,539453,12,12,12,0.3,4,0.07758620689655173,41496.38461538462,high_risk_castle,0.0
100,32,1,first_day,0,0,wylder,depth3,3,Libra,False,base,duo,2,False,4,45,2,213838,9,6,4,0.4,2,0.08695652173913043,21383.8,speedrun,0.0
101,32,2,victory,3,1,wylder,depth2,2,Adel,False,base,duo,3,True,10,91,7,606275,15,13,13,0.2727272727272727,4,0.10869565217391304,37892.1875,high_risk_castle,0.0
102,32,3,victory,3,1,wylder,depth2,2,Heolstor,False,base,duo,4,False,15,86,10,660553,15,19,15,0.25,4,0.1724137931034483,41284.5625,loot_focused,1.0
103,32,4,first_day,0,0,recluse,depth2,2,Heolstor,False,base,duo,2,False,2,33,4,79684,5,4,2,0.6666666666666666,2,0.058823529411764705,13280.666666666666,speedrun,1.0
104,32,5,final_day,2,0,recluse,depth2,2,Maris,True,base,duo,5,False,10,101,12,605253,15,15,10,0.45454545454545453,5,0.09803921568627451,37828.3125,buff_focused,0.0
105,32,6,final_day,2,0,guardian,depth2,2,Gladius,False,base,duo,4,True,12,69,12,623514,15,16,15,0.3076923076923077,5,0.17142857142857143,38969.625,loot_focused,0.0
106,32,7,second_day,1,0,wylder,depth2,2,Heolstor,False,base,duo,5,True,12,75,5,811558,15,17,15,0.38461538461538464,6,0.15789473684210525,50722.375,buff_focused,0.0
107,33,1,victory,3,1,wylder,depth2,2,Gladius,False,mountaintop,duo,2,True,12,78,9,810000,15,14,15,0.15384615384615385,3,0.1518987341772152,50625.0,loot_focused,0.0
108,34,1,victory,3,1,revenant,depth2,2,Gladius,False,noklateo,duo,4,True,14,80,9,700361,15,18,17,0.26666666666666666,5,0.1728395061728395,43772.5625,loot_focused,0.0
109,34,2,final_day,2,0,recluse,depth2,2,Gladius,True,base,duo,4,True,10,67,7,453990,13,14,13,0.36363636363636365,5,0.14705882352941177,32427.85714285714,high_risk_castle,1.0
